"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 15 a 17 anos 2020 (-)"
"Mariano Moro","4312005","-27.3568","-52.14670000000","1","4","4","2","4","2","2","1","0","1","1"
"Marques de Souza","4312054","-29.33109999999","-52.09729999999","26","29","23","18","25","13","19","14","12","5","6"
"Mata","4312104","-29.56490000000","-54.46410000000","1","5","3","3","6","2","7","19","7","6","9"
"Mato Castelhano","4312138","-28.28000000000","-52.19319999999","3","1","3","2","9","1","5","3","1","2","2"
"Mato Leitão","4312153","-29.52850000000","-52.12780000000","96","93","61","86","86","54","41","19","35","36","16"
"Mato Queimado","4312179","-28.24750000000","-54.61919999999","0","0","0","0","1","0","0","1","0","1","2"
"Maximiliano de Almeida","4312203","-27.6325","-51.80210000000","4","7","9","7","11","12","11","4","3","8","8"
"Minas do Leão","4312252","-30.13459999999","-52.04229999999","9","10","9","9","15","11","7","4","6","6","7"
"Miraguaí","4312302","-27.497","-53.68910000000","2","4","0","2","6","4","5","3","4","1","3"
"Montauri","4312351","-28.6462","-52.07670000000","2","2","7","7","9","2","3","4","4","5","4"
"Monte Alegre dos Campos","4312377","-28.68049999999","-50.7834","7","2","1","4","2","0","1","3","3","1","1"
"Monte Belo do Sul","4312385","-29.16069999999","-51.63329999999","6","5","6","2","20","0","1","6","6","6","6"
"Montenegro","4312401","-29.68240000000","-51.4679","246","320","285","289","355","327","265","279","231","222","176"
"Mormaço","4312427","-28.6968","-52.6999","3","4","4","4","3","3","3","2","3","2","2"
"Morrinhos do Sul","4312443","-29.35780000000","-49.9328","3","4","5","3","7","1","3","5","3","8","6"
"Morro Redondo","4312450","-31.58869999999","-52.62610000000","34","64","45","41","24","7","18","4","5","18","45"
"Morro Reuter","4312476","-29.5379","-51.08109999999","62","72","76","73","65","62","30","45","31","48","44"
"Mostardas","4312500","-31.10539999999","-50.91669999999","5","14","11","11","8","7","5","8","4","11","14"
"Muçum","4312609","-29.163","-51.87140000000","47","68","66","70","54","35","35","55","37","25","48"
"Muitos Capões","4312617","-28.31319999999","-51.18359999999","5","8","6","6","6","3","2","3","6","8","5"
"Muliterno","4312625","-28.32529999999","-51.7697","9","3","4","5","3","8","8","5","3","4","2"
"Não-Me-Toque","4312658","-28.45479999999","-52.81819999999","130","176","191","260","200","184","204","150","155","159","155"
"Nicolau Vergueiro","4312674","-28.52980000000","-52.46759999999","0","3","3","2","5","3","3","1","1","4","5"
"Nonoai","4312708","-27.3689","-52.77559999999","18","32","26","29","31","35","26","19","21","24","26"
"Nova Alvorada","4312757","-28.68220000000","-52.1631","24","29","45","33","48","49","31","43","40","55","51"
"Nova Araçá","4312807","-28.65370000000","-51.74580000000","48","43","33","51","49","29","32","18","14","13","13"
"Nova Bassano","4312906","-28.72909999999","-51.7072","66","60","63","65","59","65","73","47","59","62","57"
"Nova Boa Vista","4312955","-27.99259999999","-52.97840000000","3","3","11","15","11","11","10","9","7","9","18"
"Nova Bréscia","4313003","-29.2182","-52.0319","10","10","10","10","12","5","4","2","5","7","5"
"Nova Candelária","4313011","-27.61370000000","-54.10739999999","10","11","6","14","13","15","20","21","18","23","20"
"Nova Esperança do Sul","4313037","-29.40660000000","-54.82930000000","23","37","41","29","25","17","13","8","10","6","11"
"Nova Hartz","4313060","-29.5807","-50.90509999999","442","448","350","354","324","284","326","246","93","166","204"
"Nova Pádua","4313086","-29.0275","-51.30980000000","5","3","2","5","10","4","3","2","4","1","2"
"Nova Palma","4313102","-29.471","-53.46889999999","14","15","10","14","22","13","18","8","17","20","14"
"Nova Petrópolis","4313201","-29.37409999999","-51.11350000000","178","203","186","157","146","168","164","111","128","115","100"
"Nova Prata","4313300","-28.77990000000","-51.6113","195","203","207","217","229","227","164","168","175","143","146"
"Nova Ramada","4313334","-28.06670000000","-53.69919999999","1","1","1","0","1","1","1","4","0","0","0"
"Nova Roma do Sul","4313359","-28.98819999999","-51.40950000000","14","14","12","11","22","15","11","16","11","12","12"
"Nova Santa Rita","4313375","-29.85249999999","-51.28370000000","48","76","74","93","85","110","104","88","103","104","92"
"Novo Barreiro","4313490","-27.90769999999","-53.11030000000","6","22","15","12","7","7","8","2","2","2","2"
"Novo Cabrais","4313391","-29.73379999999","-52.94890000000","1","0","3","1","3","3","0","1","1","3","2"
"Novo Hamburgo","4313409","-29.6876","-51.13280000000","1.221","1.513","1.446","1.628","1.691","1.363","1.036","848","863","722","696"
"Novo Machado","4313425","-27.57649999999","-54.50359999999","1","1","3","2","4","1","1","3","1","1","1"
"Novo Tiradentes","4313441","-27.56490000000","-53.18370000000","0","0","0","0","4","1","1","0","0","0","0"
"Novo Xingu","4313466","-27.74309999999","-53.06159999999","6","1","5","3","3","3","3","2","1","3","2"
"Osório","4313508","-29.88810000000","-50.2667","198","224","206","215","252","176","159","177","188","112","72"
"Paim Filho","4313607","-27.7075","-51.76299999999","7","1","4","7","6","3","1","1","1","2","4"
"Palmares do Sul","4313656","-30.25349999999","-50.51030000000","31","36","39","34","27","26","20","15","13","10","5"
"Palmeira das Missões","4313706","-27.90060000000","-53.31340000000","68","92","90","88","104","82","55","47","48","55","25"
"Palmitinho","4313805","-27.3596","-53.558","10","7","11","16","9","7","6","6","4","10","8"
"Panambi","4313904","-28.28330000000","-53.50229999999","258","349","328","348","348","286","223","187","155","184","155"
"Pantano Grande","4313953","-30.19010000000","-52.37290000000","22","22","17","31","36","21","22","16","20","21","19"
"Paraí","4314001","-28.59639999999","-51.7896","83","79","69","93","84","74","69","59","59","61","61"
"Paraíso do Sul","4314027","-29.67170000000","-53.14399999999","12","8","6","7","8","4","1","1","2","3","1"
"Pareci Novo","4314035","-29.63650000000","-51.39739999999","14","18","23","17","26","10","12","14","11","14","13"
"Parobé","4314050","-29.62430000000","-50.83120000000","426","538","591","576","470","368","217","176","131","137","131"
"Passa Sete","4314068","-29.45769999999","-52.95989999999","1","0","0","1","3","1","0","0","2","2","1"
"Passo do Sobrado","4314076","-29.74800000000","-52.27479999999","10","12","10","12","13","9","9","0","3","10","7"
"Passo Fundo","4314100","-28.2576","-52.40910000000","989","1.303","1.246","1.357","1.431","1.098","900","993","976","875","851"
"Paulo Bento","4314134","-27.69780000000","-52.42609999999","6","5","3","6","3","3","5","3","8","12","4"
"Paverama","4314159","-29.54850000000","-51.73389999999","40","43","65","61","54","43","49","43","34","33","26"
"Pedras Altas","4314175","-31.72169999999","-53.58379999999","1","1","1","2","1","0","0","1","1","0","0"
"Pedro Osório","4314209","-31.8642","-52.81839999999","9","11","10","3","7","4","4","2","10","9","4"
"Pejuçara","4314308","-28.4283","-53.65789999999","6","13","10","10","8","11","6","9","7","8","7"
"Pelotas","4314407","-31.76490000000","-52.3371","452","633","697","612","945","724","523","488","444","464","401"
"Picada Café","4314423","-29.44640000000","-51.13669999999","96","174","173","153","130","105","112","64","77","88","98"
"Pinhal","4314456","-27.50799999999","-53.20819999999","20","7","4","5","6","11","13","7","9","9","5"
"Pinhal da Serra","4314464","-27.86339999999","-51.17020000000","1","0","0","0","1","3","1","5","1","0","2"
"Pinhal Grande","4314472","-29.34499999999","-53.32070000000","1","2","1","1","2","2","0","0","0","1","0"
"Pinheirinho do Vale","4314498","-27.21089999999","-53.60799999999","7","11","1","9","4","1","0","4","2","4","2"
"Pinheiro Machado","4314506","-31.5794","-53.37980000000","6","12","12","9","4","5","7","6","5","1","1"
"Pinto Bandeira","4314548","-29.10","-54.45","0","0","0","1","0","3","0","3","7","9","5"
"Pirapó","4314555","-28.04390000000","-55.20009999999","2","0","0","1","2","1","1","1","0","1","1"
"Piratini","4314605","-31.44729999999","-53.09729999999","25","13","18","14","7","16","18","14","18","4","9"
"Planalto","4314704","-27.32969999999","-53.05750000000","14","17","10","10","20","22","15","13","9","10","8"
"Poço das Antas","4314753","-29.4481","-51.67190000000","17","15","23","31","30","37","22","36","27","33","39"
"Pontão","4314779","-28.05849999999","-52.67909999999","2","4","3","3","5","6","4","2","2","4","4"
"Ponte Preta","4314787","-27.6587","-52.4848","0","1","1","0","0","2","1","0","1","0","0"
"Portão","4314803","-29.70149999999","-51.24289999999","115","141","148","174","168","171","149","136","116","94","107"
"Porto Alegre","4314902","-30.032778","-51.23000000000","6.572","7.856","8.873","9.279","9.734","7.805","5.996","5.182","4.970","4.342","3.392"
"Porto Lucena","4315008","-27.8569","-55.00999999999","2","5","8","7","9","5","11","5","0","2","6"
"Porto Mauá","4315057","-27.57959999999","-54.66570000000","1","1","1","0","0","1","0","0","0","0","0"
"Porto Vera Cruz","4315073","-27.74050000000","-54.8994","1","1","0","0","0","1","0","1","0","1","0"
"Porto Xavier","4315107","-27.90820000000","-55.13790000000","30","28","24","29","31","21","20","16","15","17","13"
"Pouso Novo","4315131","-29.1738","-52.2136","3","5","1","2","1","5","2","2","0","3","2"
"Presidente Lucena","4315149","-29.51760000000","-51.1798","24","34","30","17","25","21","26","22","31","29","24"
"Progresso","4315156","-29.24419999999","-52.31969999999","15","10","7","11","10","18","10","8","11","6","2"
"Protásio Alves","4315172","-28.75720000000","-51.47570000000","11","8","9","16","11","7","5","3","5","5","3"
"Putinga","4315206","-29.0045","-52.1569","13","34","27","22","26","16","14","11","8","10","11"
"Quaraí","4315305","-30.384","-56.44830000000","18","29","30","31","32","26","28","30","41","40","35"
"Quatro Irmãos","4315313","-27.81629999999","-52.44189999999","2","3","2","2","2","1","0","1","3","1","2"
"Quevedos","4315321","-29.3504","-54.07889999999","0","1","1","0","0","0","0","0","1","2","0"
"Quinze de Novembro","4315354","-28.74650000000","-53.10110000000","8","11","5","11","15","18","7","8","5","9","12"
"Redentora","4315404","-27.66400000000","-53.64070000000","3","6","3","1","4","4","3","5","6","3","6"
"Relvado","4315453","-29.11639999999","-52.07780000000","3","6","3","5","2","2","2","2","1","3","2"
"Restinga Sêca","4315503","-29.8188","-53.38069999999","17","22","25","18","15","11","27","24","25","23","17"
"Rio dos Índios","4315552","-27.2973","-52.84170000000","0","1","0","0","0","0","1","0","0","3","2"
"Rio Grande","4315602","-32.0349","-52.10710000000","331","426","652","816","993","591","494","298","275","249","205"
"Rio Pardo","4315701","-29.988","-52.37109999999","64","71","61","92","146","101","80","70","64","64","48"
"Riozinho","4315750","-29.63899999999","-50.44879999999","82","94","91","87","91","77","85","60","39","18","21"
"Roca Sales","4315800","-29.28839999999","-51.8658","159","158","124","157","173","155","113","102","102","108","42"
"Rodeio Bonito","4315909","-27.4742","-53.1706","15","19","21","19","19","14","15","16","11","17","16"
"Rolador","4315958","-28.25767000000","-54.81864000000","0","0","1","1","0","0","0","1","0","0","0"
"Rolante","4316006","-29.6462","-50.58189999999","378","412","386","365","354","302","203","216","222","180","206"
"Ronda Alta","4316105","-27.7758","-52.80559999999","9","20","22","27","13","26","23","23","22","23","19"
"Rondinha","4316204","-27.83149999999","-52.90809999999","8","11","13","19","12","9","13","8","3","7","6"
"Roque Gonzales","4316303","-28.1297","-55.02660000000","9","6","14","8","13","12","3","6","6","5","4"
"Rosário do Sul","4316402","-30.2515","-54.9221","45","69","46","39","60","73","64","83","47","53","51"
"Sagrada Família","4316428","-27.70850000000","-53.13510000000","13","15","15","12","10","7","8","9","4","6","10"
"Saldanha Marinho","4316436","-28.39410000000","-53.09700000000","1","5","4","6","6","2","6","3","4","3","8"
"Salto do Jacuí","4316451","-29.09509999999","-53.21329999999","10","10","15","20","22","25","15","8","13","14","12"
"Salvador das Missões","4316477","-28.1233","-54.83729999999","1","2","3","8","12","9","13","13","18","22","8"
"Salvador do Sul","4316501","-29.43860000000","-51.5077","97","112","117","146","150","124","92","65","95","45","39"
"Sananduva","4316600","-27.94699999999","-51.80789999999","82","84","85","101","114","85","88","75","34","59","45"
"Santa Bárbara do Sul","4316709","-28.36530000000","-53.25099999999","18","27","28","54","44","30","24","22","22","23","14"
"Santa Cecília do Sul","4316733","-28.15370000000","-51.92960000000","1","1","1","3","2","2","1","2","2","0","0"
"Santa Clara do Sul","4316758","-29.47469999999","-52.08429999999","121","114","103","118","146","99","63","69","71","53","22"
"Santa Cruz do Sul","4316808","-29.72200000000","-52.4343","545","628","626","556","700","682","552","424","477","437","382"
"Santa Margarida do Sul","4316972","-30.32959999999","-54.08229999999","0","0","0","1","2","1","1","3","7","3","0"
"Santa Maria","4316907","-29.68680000000","-53.81499999999","433","665","607","727","805","850","694","653","622","668","550"
"Santa Maria do Herval","4316956","-29.49020000000","-50.99190000000","104","107","97","94","77","68","72","53","52","47","50"
"Santa Rosa","4317202","-27.87020000000","-54.47959999999","326","365","361","391","407","296","277","284","245","218","251"
"Santa Tereza","4317251","-29.16550000000","-51.73510000000","3","1","2","0","0","0","0","0","2","4","0"
"Santa Vitória do Palmar","4317301","-33.52499999999","-53.37169999999","22","51","38","46","47","53","23","45","38","34","36"
"Santana da Boa Vista","4317004","-30.86970000000","-53.10999999999","0","1","2","1","2","1","0","0","1","2","3"
"Santana do Livramento","4317103","-30.88769999999","-55.53150000000","127","104","139","141","149","128","108","105","99","89","87"
"Santiago","4317400","-29.18969999999","-54.86659999999","65","104","96","103","119","100","84","85","68","61","63"
"Santo Ângelo","4317509","-28.3001","-54.26680000000","223","284","255","269","284","242","220","179","136","163","159"
"Santo Antônio da Patrulha","4317608","-29.82679999999","-50.51749999999","273","307","307","298","286","241","181","148","201","177","144"
"Santo Antônio das Missões","4317707","-28.51399999999","-55.22509999999","5","16","6","13","7","11","7","8","10","8","8"
"Santo Antônio do Palma","4317558","-28.4956","-52.02669999999","10","19","17","17","10","8","3","3","0","1","4"
"Santo Antônio do Planalto","4317756","-28.40309999999","-52.69919999999","0","2","2","2","4","5","2","5","3","5","9"
"Santo Augusto","4317806","-27.85259999999","-53.7776","22","35","27","23","30","27","29","20","19","13","16"
"Santo Cristo","4317905","-27.8263","-54.66199999999","77","74","70","74","78","46","58","51","47","47","49"
"Santo Expedito do Sul","4317954","-27.90739999999","-51.64330000000","0","0","0","0","0","0","0","0","0","0","0"
"São Borja","4318002","-28.65780000000","-56.00359999999","68","82","78","80","137","105","81","82","79","75","70"
"São Domingos do Sul","4318051","-28.53119999999","-51.88600000000","28","30","37","24","14","9","7","5","8","6","5"
"São Francisco de Assis","4318101","-29.5547","-55.12530000000","5","6","8","13","9","10","10","9","8","6","7"
"São Francisco de Paula","4318200","-29.4404","-50.58279999999","101","126","69","111","130","76","79","39","30","40","47"
"São Gabriel","4318309","-30.3337","-54.3217","81","111","104","99","121","102","88","93","78","95","64"
"São Jerônimo","4318408","-29.97159999999","-51.72509999999","33","59","45","59","54","34","29","30","28","20","16"
"São João da Urtiga","4318424","-27.81950000000","-51.82569999999","12","8","9","13","8","4","2","5","7","4","6"
"São João do Polêsine","4318432","-29.61939999999","-53.44389999999","1","1","0","5","5","3","2","3","4","6","3"
"São Jorge","4318440","-28.4984","-51.70640000000","13","22","21","21","16","8","9","0","2","10","5"
"São José das Missões","4318457","-27.7789","-53.12259999999","3","3","4","8","0","0","5","4","0","3","1"
"São José do Herval","4318465","-29.052","-52.29500000000","3","8","5","7","3","5","2","2","2","1","0"
"São José do Hortêncio","4318481","-29.52799999999","-51.24500000000","36","55","65","33","44","38","23","11","15","20","9"
"São José do Inhacorá","4318499","-27.72510000000","-54.12749999999","8","6","4","3","1","4","2","1","8","5","6"
"São José do Norte","4318507","-32.01509999999","-52.03309999999","12","25","34","43","35","33","42","12","28","25","46"
"São José do Ouro","4318606","-27.77070000000","-51.59660000000","17","16","18","32","10","14","10","11","9","14","10"
"São José do Sul","4318614","-29.529","-51.48709999999","4","9","4","6","10","10","3","5","6","8","3"
"São José dos Ausentes","4318622","-28.74759999999","-50.06770000000","5","7","4","6","3","4","4","3","4","3","5"
"São Leopoldo","4318705","-29.7545","-51.14979999999","786","1.028","1.017","1.164","1.223","911","811","596","467","494","415"
"São Lourenço do Sul","4318804","-31.35640000000","-51.97149999999","49","48","42","43","55","56","55","40","38","42","51"
"São Luiz Gonzaga","4318903","-28.41199999999","-54.9559","74","94","87","76","71","66","61","40","53","43","58"
"São Marcos","4319000","-28.96770000000","-51.06960000000","147","158","207","190","182","135","96","109","121","134","114"
"São Martinho","4319109","-27.71120000000","-53.96990000000","11","23","15","23","20","13","11","19","14","17","20"
"São Martinho da Serra","4319125","-29.5397","-53.85900000000","1","0","1","1","1","2","0","0","0","0","0"
"São Miguel das Missões","4319158","-28.55600000000","-54.55590000000","3","5","15","7","9","7","7","5","6","8","9"
"São Nicolau","4319208","-28.18339999999","-55.2654","2","3","3","5","7","4","1","4","3","3","0"
"São Paulo das Missões","4319307","-28.01950000000","-54.94039999999","4","14","13","11","7","9","10","6","6","3","3"
"São Pedro da Serra","4319356","-29.4193","-51.51339999999","26","37","39","38","20","21","21","21","10","6","11"
"São Pedro das Missões","4319364","-27.77321999999","-53.25047","0","0","3","0","1","0","0","1","0","0","6"
"São Pedro do Butiá","4319372","-28.12430000000","-54.89260000000","11","8","8","10","10","7","5","3","4","2","8"
"São Pedro do Sul","4319406","-29.62020000000","-54.18549999999","14","14","9","16","11","15","18","18","14","12","11"
"São Sebastião do Caí","4319505","-29.5885","-51.37489999999","102","108","160","210","247","199","123","120","128","136","137"
"São Sepé","4319604","-30.16430000000","-53.56029999999","18","17","20","58","66","54","64","40","30","35","23"
"São Valentim","4319703","-27.55829999999","-52.52369999999","2","4","8","2","5","2","1","3","0","0","1"
"São Valentim do Sul","4319711","-29.04510000000","-51.7684","10","12","8","7","2","5","2","8","6","9","5"
"São Valério do Sul","4319737","-27.79060000000","-53.93679999999","0","0","1","1","0","0","0","0","0","2","1"
"São Vendelino","4319752","-29.37290000000","-51.3675","35","56","53","37","37","13","7","7","8","8","15"
"São Vicente do Sul","4319802","-29.68819999999","-54.68260000000","2","5","4","6","9","6","2","4","6","4","5"
"Sapiranga","4319901","-29.63489999999","-51.00650000000","702","719","852","811","731","608","468","421","373","399","306"
"Sapucaia do Sul","4320008","-29.8276","-51.14500000000","413","488","431","464","500","344","234","180","193","136","133"
"Sarandi","4320107","-27.942","-52.92309999999","309","317","269","289","281","192","153","144","104","115","127"
"Seberi","4320206","-27.48290000000","-53.4026","16","25","27","35","32","28","37","25","29","35","21"
"Sede Nova","4320230","-27.63670000000","-53.94930000000","2","6","2","6","2","1","4","2","0","0","0"
"Segredo","4320263","-29.3523","-52.97670000000","0","2","4","3","2","1","1","2","0","0","0"
"Selbach","4320305","-28.6294","-52.94980000000","12","10","17","20","12","11","18","15","16","13","11"
"Senador Salgado Filho","4320321","-28.02500000000","-54.55069999999","1","3","4","6","5","1","1","2","3","4","1"
"Sentinela do Sul","4320354","-30.61070000000","-51.58619999999","4","12","3","4","2","2","2","0","1","2","4"
"Serafina Corrêa","4320404","-28.71259999999","-51.93529999999","183","156","121","119","110","103","109","95","101","90","137"
"Sério","4320453","-29.3904","-52.26850000000","1","1","1","2","3","0","0","0","0","2","3"
"Sertão","4320503","-27.97980000000","-52.25880000000","8","6","4","6","9","5","0","3","1","2","4"
"Sertão Santana","4320552","-30.45619999999","-51.60170000000","4","4","1","5","5","3","7","10","8","14","12"
"Sete de Setembro","4320578","-28.13619999999","-54.46370000000","0","0","0","0","0","0","1","0","0","0","0"
"Severiano de Almeida","4320602","-27.43619999999","-52.12169999999","10","7","9","6","4","4","2","3","4","1","2"
"Silveira Martins","4320651","-29.64669999999","-53.59100000000","4","2","0","1","1","3","1","0","0","1","1"
"Sinimbu","4320677","-29.53569999999","-52.53050000000","3","7","12","8","10","6","4","1","4","6","2"
"Sobradinho","4320701","-29.4194","-53.03260000000","43","31","22","42","52","35","13","24","31","35","28"
"Soledade","4320800","-28.8306","-52.51310000000","86","89","119","114","113","98","63","68","67","74","75"
"Tabaí","4320859","-29.64300000000","-51.68229999999","15","14","15","9","12","9","10","11","7","9","7"
"Tapejara","4320909","-28.06520000000","-52.00970000000","234","331","241","300","252","220","207","204","192","198","214"
"Tapera","4321006","-28.62770000000","-52.86119999999","31","48","50","45","46","33","38","36","28","26","29"
"Tapes","4321105","-30.66829999999","-51.39909999999","13","29","22","19","28","18","19","13","13","4","9"
"Taquara","4321204","-29.65050000000","-50.77530000000","263","315","313","285","254","187","135","119","143","128","154"
"Taquari","4321303","-29.7943","-51.86529999999","53","96","101","117","98","62","53","41","39","53","92"
"Taquaruçu do Sul","4321329","-27.40040000000","-53.47030000000","9","4","3","6","6","4","3","4","6","6","6"
"Tavares","4321352","-31.28430000000","-51.08800000000","5","6","2","3","4","2","2","3","5","2","4"
"Tenente Portela","4321402","-27.37109999999","-53.75849999999","16","19","20","30","38","36","40","40","23","28","28"
"Terra de Areia","4321436","-29.57819999999","-50.06439999999","22","41","44","32","24","34","27","26","31","32","24"
"Teutônia","4321451","-29.4482","-51.80440000000","438","475","443","465","453","378","216","299","289","348","220"
"Tio Hugo","4321469","-28.57404","-52.59490000000","13","17","15","10","15","15","9","11","7","9","7"
"Tiradentes do Sul","4321477","-27.40220000000","-54.08140000000","3","10","7","8","7","3","4","3","3","3","3"
"Toropi","4321493","-29.47820000000","-54.22440000000","0","0","1","1","1","0","0","0","1","1","1"
"Torres","4321501","-29.33340000000","-49.7333","196","215","210","223","241","179","175","116","119","123","135"
"Tramandaí","4321600","-29.98410000000","-50.13219999999","219","260","243","275","320","209","175","160","128","139","166"
"Travesseiro","4321626","-29.29769999999","-52.05319999999","29","28","27","22","26","25","20","17","16","12","14"
"Três Arroios","4321634","-27.50029999999","-52.14479999999","5","2","2","4","4","7","2","1","2","1","2"
"Três Cachoeiras","4321667","-29.44869999999","-49.92750000000","56","55","57","57","52","58","38","46","51","33","52"
"Três Coroas","4321709","-29.5137","-50.77389999999","438","496","510","456","454","319","278","158","150","127","188"
"Três de Maio","4321808","-27.78000000000","-54.23570000000","103","104","116","122","113","81","71","92","82","75","82"
"Três Forquilhas","4321832","-29.53839999999","-50.07079999999","13","1","2","3","6","5","3","1","0","0","0"
"Três Palmeiras","4321857","-27.61390000000","-52.84369999999","7","9","14","10","11","8","10","8","6","6","4"
"Três Passos","4321907","-27.45550000000","-53.92960000000","71","84","90","90","94","53","58","48","68","51","79"
"Trindade do Sul","4321956","-27.52390000000","-52.89560000000","2","1","5","7","5","28","5","4","3","24","28"
"Triunfo","4322004","-29.92909999999","-51.70750000000","82","137","107","141","137","105","94","68","82","82","77"
"Tucunduva","4322103","-27.65729999999","-54.44389999999","12","15","12","12","14","5","11","10","7","9","8"
"Tunas","4322152","-29.10389999999","-52.95380000000","1","4","6","3","3","2","3","5","4","4","3"
"Tupanci do Sul","4322186","-27.92409999999","-51.5383","0","0","0","1","1","1","0","0","0","0","0"
"Tupanciretã","4322202","-29.08579999999","-53.84449999999","24","34","29","47","67","62","59","48","47","42","25"
"Tupandi","4322251","-29.4772","-51.41740000000","154","166","183","170","174","69","75","84","81","82","104"
"Tuparendi","4322301","-27.75979999999","-54.48140000000","15","22","7","13","11","13","14","19","7","9","9"
"Turuçu","4322327","-31.41730000000","-52.1706","0","1","0","2","2","1","0","2","1","1","1"
"Ubiretama","4322343","-28.04040000000","-54.68589999999","0","1","1","0","3","2","2","1","0","0","0"
"União da Serra","4322350","-28.78330000000","-52.02380000000","3","5","7","7","5","4","3","0","4","2","2"
"Unistalda","4322376","-29.03999999999","-55.15169999999","2","1","1","0","3","2","1","0","0","1","1"
"Uruguaiana","4322400","-29.76139999999","-57.08529999999","300","294","253","420","384","364","175","263","239","184","123"
"Vacaria","4322509","-28.50789999999","-50.94180000000","474","526","528","462","529","438","460","408","418","407","413"
"Vale do Sol","4322533","-29.59669999999","-52.68390000000","5","5","5","3","6","2","3","0","4","6","9"
"Vale Real","4322541","-29.3919","-51.25589999999","45","54","44","41","32","27","27","22","39","46","43"
"Vale Verde","4322525","-29.7864","-52.18569999999","0","3","4","8","2","2","0","1","1","1","0"
"Vanini","4322558","-28.4758","-51.84470000000","12","8","8","8","11","2","2","0","2","2","2"
"Venâncio Aires","4322608","-29.6143","-52.19319999999","285","298","300","341","294","308","221","141","181","180","211"
"Vera Cruz","4322707","-29.71839999999","-52.5152","70","54","45","38","74","51","28","33","25","32","27"
"Veranópolis","4322806","-28.9312","-51.55160000000","157","198","232","172","230","146","176","133","141","143","71"
"Vespasiano Correa","4322855","-29.0655","-51.86250000000","5","5","3","8","8","8","7","7","8","10","6"
"Viadutos","4322905","-27.5716","-52.02109999999","3","4","6","6","7","6","3","1","0","2","1"
"Viamão","4323002","-30.08190000000","-51.01939999999","354","407","470","567","528","422","312","257","233","194","165"
"Vicente Dutra","4323101","-27.16079999999","-53.40220000000","1","4","1","1","4","4","1","2","0","0","0"
"Victor Graeff","4323200","-28.56319999999","-52.74949999999","8","9","9","10","11","7","10","3","6","6","9"
"Vila Flores","4323309","-28.8598","-51.55040000000","49","42","59","45","47","37","27","26","25","34","22"
"Vila Lângaro","4323358","-28.10620000000","-52.14379999999","3","4","7","5","4","4","7","10","6","2","8"
"Vila Maria","4323408","-28.53590000000","-52.14869999999","23","24","28","24","25","17","23","19","29","25","30"
"Vila Nova do Sul","4323457","-30.3461","-53.87599999999","0","0","3","2","5","1","0","2","5","9","1"
"Vista Alegre","4323507","-27.36860000000","-53.49190000000","1","5","1","2","7","4","3","0","1","3","4"
"Vista Alegre do Prata","4323606","-28.80519999999","-51.79460000000","2","3","2","3","7","3","1","2","3","3","4"
"Vista Gaúcha","4323705","-27.29019999999","-53.69740000000","5","3","8","8","6","3","6","10","6","5","2"
"Vitória das Missões","4323754","-28.35160000000","-54.50399999999","1","0","0","0","0","3","2","1","1","1","1"
"Westfalia","4323770","-29.37440000000","-51.74629999999","17","34","38","38","48","41","27","43","33","39","46"
"Xangri-lá","4323804","-29.8065","-50.05190000000","91","86","127","124","155","106","98","70","81","81","100"
